标题,标题1,标题2,标题3,标题4,标题5,内容,keyword
大气数据分析师,海南显象网络科技有限公司,广东省深圳市,数据分析,不限,2026-07-01,"薪酬:20-30元/月
学历:不限
经验:不限
来源:BOSS直聘",数据分析师
广告数据分析师,北京源东科技集团有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
游戏数据分析师,波克科技集团有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:30000-60000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
游戏数据分析师,成都乐狗科技有限公司,四川省成都市,数据分析,1-3年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
高级数据分析师,深圳市亮亮欣控股有限公司,广东省深圳市,数据分析,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
游戏数据分析师,昌吉市蓝鲨游戏工作室个体工商户,新疆维吾尔自治区昌吉回族自治州,数据分析,不限,2026-07-01,"薪酬:5000-6000元/月
学历:不限
来源:BOSS直聘",数据分析师
游戏数据分析师,武汉幻萌无限网络科技有限公司,广东省深圳市,数据分析,不限,2026-07-01,"薪酬:35000-55000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
AI 数据分析师,陕西阿虎教育科技有限公司,陕西省西安市,数据分析,3-5年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析工程师,上海桔子智驾汽车租赁有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:18000-23000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
商品数据分析师,广州聚渡商贸发展有限公司,广东省广州市,数据分析,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
大气数据分析师,海南显象网络科技有限公司,广东省深圳市,数据分析,不限,2026-07-01,"薪酬:25-30元/月
学历:不限
经验:不限
来源:BOSS直聘",数据分析师
人资数据分析师,上海旺旺食品集团有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
运营数据分析师,厦门云瀚星辰文化有限公司,福建省厦门市,数据分析,1-3年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
产品数据分析师,高帆破浪科技浙江有限责任公司,浙江省杭州市,数据分析,1-3年,2026-07-01,"薪酬:18000-35000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
ai数据分析师,南宁新狐网络科技有限公司,广西壮族自治区南宁市,数据分析,3-5年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
内容数据分析师,济南披荆斩棘企业管理有限公司,山东省济南市,数据分析,1-3年,2026-07-01,"薪酬:7000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
高级数据分析师,昊盈信息技术成都有限公司,四川省成都市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
资深数据分析师,北京嘀嘀无限科技发展有限公司,北京市,数据分析,5-10年,2026-07-01,"薪酬:25000-45000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
资深数据分析师,杭州悠可化妆品有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据分析师
电商数据分析师,云南白药集团股份有限公司,浙江省杭州市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
高级数据分析师,北京米可世界科技有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
搜推数据分析师,上海寻梦信息技术有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:20000-40000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
行业数据分析师,沈阳诺一时代空间信息科技有限公司,辽宁省沈阳市,数据分析,3-5年,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
高级数据分析师,壹沓科技上海有限公司,上海市,数据分析,5-10年,2026-07-01,"薪酬:18000-22000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
电商数据分析师,泉州熔点商贸有限公司,福建省泉州市,数据分析,1-3年,2026-07-01,"薪酬:5000-7000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
业务数据分析师,四川智胜慧安信息技术有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:12000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
跨境数据分析师,深圳市金焱焱科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析工程师,江苏运满满信息科技有限公司,江苏省南京市,数据分析,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析工程师,广州联深计算机科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:6000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
供应链数据分析师,深圳市亚飞电子商务有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
电商-数据分析师,江苏莱特购网络科技有限公司,江苏省常州市,数据分析,5-10年,2026-07-01,"薪酬:12000-15000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
风控数据分析师,百度在线网络技术北京有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:30000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师/游戏,苏州自由易动网络科技有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:12000-16000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
k12数据分析师,极坐标网络科技山东有限公司,山东省济南市,数据分析,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
初级数据分析师,广东中建普联科技股份有限公司,广东省广州市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
金融数据分析师,绵阳瑞特信科技有限公司,四川省广元市,数据分析,1-3年,2026-07-01,"薪酬:5000-6000元/月
学历:不限
经验:1-3年
来源:BOSS直聘",数据分析师
CRM数据分析师,北京聚生信生物科技有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:25000-30000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
初级数据分析师,深圳市亮亮欣控股有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
资深数据分析师,成都曦和云创科技有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
临床数据分析师,芯联智科北京科技有限公司,北京市,数据分析,5-10年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
数据分析师-济南,浙江翼菲智能科技股份有限公司,山东省济南市,数据分析,3-5年,2026-07-01,"薪酬:11000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
渠道数据数据分析师,克鲁北京网络科技有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:30000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
海外短剧数据分析师,深圳市极光巨擎科技有限公司,广东省深圳市,数据分析,5-10年,2026-07-01,"薪酬:18000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
大模型数据分析师,山西鑫云创科技有限公司,山西省临汾市,数据分析,不限,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
大模型数据分析师,山西鑫云创科技有限公司,天津市,数据分析,不限,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师+高薪资,山东初可电子商务有限公司,山东省济南市,数据分析,1-3年,2026-07-01,"薪酬:5000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
大模型数据分析师,山西鑫云创科技有限公司,山西省临汾市,数据分析,不限,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
电商-数据分析师,山东光安铭新材料有限公司,山东省潍坊市,数据分析,1-3年,2026-07-01,"薪酬:10000-11000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
品类-数据分析师,深圳希音信息技术有限公司,广东省广州市,数据分析,1-3年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
番茄小说数据分析师,北京字跳网络技术有限公司,北京市,数据分析,不限,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
供应链数据分析师,深圳海顾科技有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
CDA数据分析师,山东洁晶集团股份有限公司,山东省日照市,数据分析,1-3年,2026-07-01,"薪酬:4000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
人力资源数据分析师,深圳十方融海科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
充电大数据分析师,奇瑞汽车股份有限公司,安徽省芜湖市,数据分析,3-5年,2026-07-01,"薪酬:20000-30000元/月
学历:硕士
经验:3-5年
来源:BOSS直聘",数据分析师
中高级数据分析师,广东铭太信息科技有限公司,广东省广州市,数据分析,5-10年,2026-07-01,"薪酬:11000-18000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
医疗AI数据分析师,苏州睿酷医疗科技有限责任公司,江苏省苏州市,数据分析,1-3年,2026-07-01,"薪酬:5000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
振动/数据分析师,华信科创北京科技股份有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师-北京,北京京东世纪贸易有限公司,北京市,数据分析,5-10年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
算法数据分析工程师,深圳硅基仿生科技股份有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
跨境电商数据分析师,广州无云科技有限公司,广东省广州市,数据分析,不限,2026-07-01,"薪酬:5000-8000元/月
学历:本科
来源:BOSS直聘",数据分析师
高级游戏数据分析师,北京多多迦游信息技术有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
大气数据分析工程师,中科三清科技有限公司,山东省东营市,数据分析,1-3年,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
振动数据分析工程师,安徽交泰智能技术有限公司,安徽省合肥市,数据分析,1-3年,2026-07-01,"薪酬:5000-7000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
高级电商数据分析师,福建新时颖科技有限公司,福建省泉州市,数据分析,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
大气数据分析工程师,河北合度环保科技有限公司,河北省衡水市,数据分析,不限,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
高级数据分析工程师,杭州彩连科技有限公司,浙江省杭州市,数据分析,3-5年,2026-07-01,"薪酬:18000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
AI经营数据分析师,北京金隅天坛家具股份有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:18000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（绩效）,厦门特宝生物工程股份有限公司,福建省厦门市,数据分析,1-3年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
周末双休 数据分析师,山西嘉盛融汇投资有限公司,山西省太原市,数据分析,不限,2026-07-01,"薪酬:3000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据分析师
大气数据分析工程师,广州华粤科技有限公司,福建省福州市,数据分析,不限,2026-07-01,"薪酬:5000-7000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师（电商）,杭州悠可化妆品有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:12000-16000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师+近地铁,成都康特恩科技集团有限公司,四川省成都市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
跨境电商数据分析师,潍坊华业供应链有限公司,山东省潍坊市,数据分析,1-3年,2026-07-01,"薪酬:8000-12000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师(电商),深圳移花科技有限公司,河南省洛阳市,数据分析,1-3年,2026-07-01,"薪酬:4000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
医学数据统计分析师,杭州医时生物科技有限公司,浙江省杭州市,数据分析,1-3年,2026-07-01,"薪酬:300-1200元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
储能行业数据分析师,北京中储能科技股份有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
用户体验数据分析师,百度在线网络技术北京有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:30000-45000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
安全数据分析工程师,沥泉科技成都有限公司,四川省成都市,数据分析,3-5年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析建模工程师,上海菁哩信息科技有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
京东外卖数据分析师,北京京东世纪贸易有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
高级投放数据分析师,北京雍禾医疗科技集团有限公司,河北省石家庄市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
地理信息数据分析师,成都海杰智策信息科技有限公司,四川省成都市,数据分析,不限,2026-07-01,"薪酬:5000-9000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师（双休）,珠海星级誉美妆有限公司,广东省珠海市,数据分析,1-3年,2026-07-01,"薪酬:10000-13000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
跨境电商数据分析师,深圳市创金跨境电子商务有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
出海游戏数据分析师,克鲁北京网络科技有限公司,四川省成都市,数据分析,5-10年,2026-07-01,"薪酬:20000-26000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
医学影像数据分析师,辽宁万象联合医疗科技有限公司,辽宁省沈阳市,数据分析,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
跨境电商数据分析师,宁波佑华信息科技有限公司,浙江省宁波市,数据分析,1-3年,2026-07-01,"薪酬:7000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
跨境电商数据分析师,温州市谷源电子商务有限公司,浙江省温州市,数据分析,1-3年,2026-07-01,"薪酬:6000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析高级工程师,江苏运满满信息科技有限公司,江苏省南京市,数据分析,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师-用增方向,上海叠纸科技有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:20000-35000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师-AB实验,北京多多迦游信息技术有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师-番茄小说,北京字跳网络技术有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:30000-45000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
番茄小说-数据分析师,北京字跳网络技术有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师—今日头条,北京字跳网络技术有限公司,北京市,数据分析,不限,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师-番茄小说,北京字跳网络技术有限公司,北京市,数据分析,不限,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师-大厂双休,柯莱特信息技术有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师-用户体验,北京达佳互联信息技术有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
电商数据分析师-百度,柯莱特信息技术有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:10000-11000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（会英语）,上海时代天使医疗器械有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
社媒数据与投流分析师,深圳市易检车服科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师+六险一金,山东初可电子商务有限公司,山东省济南市,数据分析,1-3年,2026-07-01,"薪酬:6000-10000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（留学生）,无锡兰锡奥尼信息技术咨询有限公司,江苏省无锡市,数据分析,不限,2026-07-01,"薪酬:9000-11000元/月
学历:本科
来源:BOSS直聘",数据分析师
数据分析师+月休6天,河南声谷网络科技有限公司,河南省洛阳市,数据分析,1-3年,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
高级/资深数据分析师,上海九方云智能科技有限公司,上海市,数据分析,5-10年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
数据分析师-电商项目,福州纯朴科技集团有限公司,福建省福州市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（产品部）,广州市海草创业孵化器有限公司,广东省广州市,数据分析,不限,2026-07-01,"薪酬:6000-9000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
【商业化】数据分析师,上海从鲸信息技术有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:30000-55000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
ai数据分析师-双休,南京纳艾壮科技服务有限公司,辽宁省沈阳市,数据分析,不限,2026-07-01,"薪酬:6000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据分析师
数据分析与质检工程师,澳优乳业中国有限公司,湖南省长沙市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师【金融方向】,北京嘀嘀无限科技发展有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:40000-70000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
医疗器械数据统计分析师,郯城京郯科技有限公司,天津市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
医疗器械数据统计分析师,郯城京郯科技有限公司,江苏省无锡市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
医疗器械数据统计分析师,郯城京郯科技有限公司,江苏省南京市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（品牌客户）,上海开域信息科技有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师(业务方向),上海上湖信息技术有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:18000-35000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
高级/资深数据分析师,清远市广硕鞋业有限公司,广东省清远市,数据分析,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据分析师
数据分析师（跨境电商）,鸿旭家用电器义乌有限公司,浙江省金华市,数据分析,1-3年,2026-07-01,"薪酬:8000-12000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
跨境电商业务数据分析师,运去哪物流科技集团有限公司,广东省深圳市,数据分析,5-10年,2026-07-01,"薪酬:18000-25000元/月
学历:不限
经验:5-10年
来源:BOSS直聘",数据分析师
数据分析师（建模方向）,与辉同行北京科技有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:22000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（游戏平台）,上海鹰角网络科技有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:25000-45000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
跨境电商AI数据分析师,深圳市寻海信息技术有限公司,贵州省贵阳市,数据分析,1-3年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（风控方向）,上海从鲸信息技术有限公司,上海市,数据分析,不限,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据分析师
数据分析师（长期出差）,中科聚信信息技术北京有限公司,四川省成都市,数据分析,3-5年,2026-07-01,"薪酬:13000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
业务数据分析资深管理师,东莞华港国际贸易有限公司,广东省东莞市,数据分析,5-10年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
Senior 数据分析师,高帆破浪科技浙江有限责任公司,浙江省杭州市,数据分析,不限,2026-07-01,"薪酬:20000-40000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据分析师
财务数据分析师单双轮休,山东千麒信息科技有限公司,山东省济南市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（跨境电商）,深圳西之月网络科技有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
python数据分析师,澳文科技大连有限公司,辽宁省大连市,数据分析,3-5年,2026-07-01,"薪酬:9000-11000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据分析师
医疗器械数据统计分析师,郯城京郯科技有限公司,吉林省长春市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（用户方向）,北京京东世纪贸易有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:30000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
储能系统数据分析工程师,楚能新能源股份有限公司,湖北省武汉市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
资深数据分析师 周末双休,深圳依时货拉拉科技有限公司,广东省深圳市,数据分析,5-10年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
Python 数据分析师,成都麟通科技有限公司,四川省成都市,数据分析,3-5年,2026-07-01,"薪酬:9000-11000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（社媒聆听）,仟传网络科技上海有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（游戏发行）,广州卓动信息科技有限公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
python数据分析师,福州伊隐文网络科技有限公司,福建省福州市,数据分析,1-3年,2026-07-01,"薪酬:9000-13000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师(英语流利),上海时代天使医疗器械有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:15000-22000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师助理+氛围好,厦门粉多多网络科技有限公司,福建省厦门市,数据分析,1-3年,2026-07-01,"薪酬:7000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
商业分析师（数据方向）,北京嘀嘀无限科技发展有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:35000-55000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（长期出差）,中科聚信信息技术北京有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:13000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（滴滴能源）,北京嘀嘀无限科技发展有限公司,浙江省杭州市,数据分析,5-10年,2026-07-01,"薪酬:40000-55000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据分析师
数据分析师（休闲棋牌）,波克科技集团有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师-供应链方向,上海得物信息集团有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:35000-65000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师（法律专业）,福建法意科技有限公司,福建省福州市,数据分析,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
数据分析师（内审部门）,唯品会中国有限公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:12000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据分析师
高级数据分析师（供应链）,福建省醉得意餐饮管理有限公司,福建省福州市,数据分析,3-5年,2026-07-01,"薪酬:13000-25000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据分析师
数据分析师-场景和流量,广州未来一手网络科技有限公司,广东省广州市,数据分析,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据分析师
医疗器械数据统计分析师,郯城京郯科技有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据分析师
